#####################################################
# (C) Songrun (songruner@gmail.com)
#
# Running time: 0.929 (s)
# Repeat      : 4
#
#####################################################
*BONEANIMATION, BONEINDEX=0, NFRAMES=4
0 1.000031 8.8e-05 9.5e-05 -3e-06 1.000073 0.000192 -0.000129 -0.00017 1.000095 9.3e-05 0.000128 -5.8e-05 0 0 0 1
1 1.000107 0.000181 0.000138 -0.000101 1.000065 0.000207 -0.000198 -0.000168 1.000123 6.4e-05 5.4e-05 -0.000366 0 0 0 1
2 0.772639 -0.349885 0.529942 0.469421 0.876697 -0.10569 -0.427671 0.330313 0.841517 0.171481 0.205421 -0.196843 0 0 0 1
3 0.747219 -0.465545 -0.474706 -0.259113 0.453713 -0.852894 0.612153 0.760073 0.218262 0.05094 0.294973 1.267453 0 0 0 1
#####################################################
*BONEANIMATION, BONEINDEX=1, NFRAMES=4
0 1.000153 0.00044 0.000473 -1.4e-05 1.000366 0.000959 -0.000646 -0.000853 1.000476 0.000468 0.000639 -0.000291 0 0 0 1
1 1.000091 0.000514 -0.000102 -0.000514 1.00021 0.000539 -0.000108 -0.000535 1.000101 -0.000117 0.000175 -0.001326 0 0 0 1
2 0.986443 -0.006499 0.164465 0.156009 0.355365 -0.922836 -0.052414 0.935846 0.351549 -0.051876 -0.145732 0.785778 0 0 0 1
3 1.000772 -0.019028 0.026541 0.019954 1.000616 0.013218 -0.02619 -0.013787 1.001001 0.003661 0.006595 -0.006902 0 0 0 1
#####################################################
*BONEANIMATION, BONEINDEX=2, NFRAMES=4
0 0.999883 -0.000337 -0.000363 1.1e-05 0.99972 -0.000735 0.000495 0.000653 0.999636 -0.000358 -0.00049 0.000223 0 0 0 1
1 0.600164 -0.353571 -0.717214 -0.009125 0.89383 -0.448255 0.799552 0.275945 0.533188 -0.394886 -0.084897 0.458305 0 0 0 1
2 1.000048 7e-05 -0.000151 -0.000137 1.000213 0.000291 9.9e-05 -0.000338 1.000221 -1.8e-05 3e-06 -0.000192 0 0 0 1
3 0.679878 0.308327 -0.665312 -0.538998 0.825371 -0.168204 0.497096 0.472999 0.727339 0.020419 -0.149396 0.220045 0 0 0 1
#####################################################
*BONEANIMATION, BONEINDEX=3, NFRAMES=4
0 0.893822 -0.305197 -0.328603 0.00996 0.745997 -0.665953 0.448359 0.591986 0.669822 -0.32472 -0.443669 0.202323 0 0 0 1
1 0.930019 -0.362915 0.058826 0.356916 0.852766 -0.381368 0.088224 0.375642 0.922609 0.074479 -0.122754 0.92832 0 0 0 1
2 1.000001 0.0 -1.2e-05 -1.2e-05 1.000048 6.9e-05 4e-06 -7e-05 1.000048 4e-06 1.1e-05 -5.9e-05 0 0 0 1
3 0.189754 0.174564 -0.966277 -0.834506 0.547226 -0.065091 0.517457 0.818638 0.24946 -0.283149 -0.303252 0.136478 0 0 0 1
#####################################################
*VERTEXWEIGHTS, NVERTICES=1538  #(vtx0Based bone0 w0 bone1 w1 ... )
0  0 0.0 1 7.5e-05 2 0.00013 3 0.999795
1  0 0.0 1 7.5e-05 2 0.000145 3 0.99978
2  0 0.0 1 7.5e-05 2 0.00013 3 0.999795
3  0 0.0 1 7.5e-05 2 0.000137 3 0.999788
4  0 0.999372 1 0.000125 2 0.000216 3 0.000287
5  0 0.999462 1 3.4e-05 2 0.000216 3 0.000287
6  0 0.999433 1 6.3e-05 2 0.000216 3 0.000287
7  0 0.999464 1 3.2e-05 2 0.000216 3 0.000287
8  0 0.000303 1 0.507576 2 0.491933 3 0.000188
9  0 0.999488 1 9e-06 2 0.000216 3 0.000287
10  0 0.000893 1 0.518917 2 0.479489 3 0.000701
11  0 0.0 1 7.5e-05 2 0.000159 3 0.999766
12  0 0.000667 1 0.534159 2 0.464818 3 0.000357
13  0 0.0 1 7.5e-05 2 0.000173 3 0.999752
14  0 0.0 1 7.5e-05 2 0.000261 3 0.999665
15  0 0.0 1 7.5e-05 2 0.000181 3 0.999744
16  0 0.0 1 7.5e-05 2 0.00018 3 0.999746
17  0 0.000308 1 0.530964 2 0.468481 3 0.000248
18  0 0.999497 1 0.0 2 0.000216 3 0.000287
19  0 0.000462 1 0.565144 2 0.43394 3 0.000454
20  0 0.999478 1 1.9e-05 2 0.000216 3 0.000287
21  0 0.999477 1 1.9e-05 2 0.000216 3 0.000287
22  0 0.99947 1 2.7e-05 2 0.000216 3 0.000287
23  0 0.000896 1 0.492549 2 0.506404 3 0.000151
24  0 0.002537 1 0.471868 2 0.525418 3 0.000177
25  0 0.000418 1 0.44455 2 0.555004 3 2.8e-05
26  0 7.6e-05 1 0.000188 2 0.389627 3 0.610109
27  0 0.000335 1 0.514227 2 0.485032 3 0.000406
28  0 7.8e-05 1 0.000163 2 0.403282 3 0.596477
29  0 0.999493 1 4e-06 2 0.000216 3 0.000287
30  0 0.657808 1 0.341377 2 0.000134 3 0.000681
31  0 0.648571 1 0.350606 2 0.000132 3 0.000691
32  0 0.649184 1 0.349994 2 0.000132 3 0.000691
33  0 0.999494 1 3e-06 2 0.000216 3 0.000287
34  0 0.625895 1 0.373261 2 0.000127 3 0.000717
35  0 0.0 1 7.5e-05 2 0.000131 3 0.999794
36  0 7.6e-05 1 0.000175 2 0.391308 3 0.608441
37  0 8.3e-05 1 0.000218 2 0.427611 3 0.572088
38  0 8.1e-05 1 0.000166 2 0.418068 3 0.581684
39  0 0.0 1 7.5e-05 2 0.00013 3 0.999795
40  0 0.000496 1 0.528271 2 0.470688 3 0.000545
41  0 0.650659 1 0.348519 2 0.000132 3 0.000689
42  0 0.0 1 7.5e-05 2 0.00015 3 0.999776
43  0 0.0 1 7.5e-05 2 0.000136 3 0.99979
44  0 0.0 1 7.5e-05 2 0.00013 3 0.999795
45  0 0.0 1 7.5e-05 2 0.000176 3 0.999749
46  0 0.0 1 7.5e-05 2 0.00013 3 0.999795
