#####################################################
# (C) Songrun (songruner@gmail.com)
#
# Running time: 0.001 (m)
# Repeat      : 3
#
#####################################################
*BONEANIMATION, BONEINDEX=0, NFRAMES=4
0 0.6589980474131651 -0.6608840194999092 0.362450558730304 -0.26228361884443874 -0.5884137186799285 -0.1540445256956861 0.796081285089852 -0.26670836503023154 -0.4713727420862798 -0.7369834466461536 -0.4899008883485141 -0.31410759200549365 0 0 0 1
1 0.019860381430840346 -0.5989958232344196 0.8012306494694595 -0.7983784489160424 0.9998806816072241 0.04295803644743525 0.007164548860471687 0.5999236437982065 -0.03845457132433394 0.7996394292681098 0.599722849322651 -0.2650123137366062 0 0 0 1
2 -0.12115334705756076 0.02060872620129134 0.9946422047001147 -0.7323498445231148 -0.944197710103199 0.31269490653323184 -0.1219942180532726 -0.27225593277004645 -0.31082841467585814 -0.9508596554507212 -0.019447796942622428 0.021140773148118686 0 0 0 1
3 0.9234694367566653 0.31851259719629693 -0.21600243698122049 -0.0580264339929023 -0.07278498348826822 -0.40704805953524115 -0.9107711936084183 0.016408398655129552 -0.37787944415328567 0.8567477874037477 -0.35282768004883586 -0.22447319528007115 0 0 0 1
#####################################################
*BONEANIMATION, BONEINDEX=1, NFRAMES=4
0 1.0008771222858477 0.0005953994845382393 0.0015397866256968568 -0.0006487259610213764 0.00019806098778846204 0.9990907340372108 0.0021537526979570343 -0.0003623302349673521 -0.001131417695717854 -0.002273866621011811 1.0000029593731101 0.0011091516407207291 0 0 0 1
1 0.7053547879282354 -0.13169875119778535 -0.6971614162974616 0.0003954919730776718 -0.4188707342422306 0.7157425275547645 -0.5593909234376984 0.0008179867074088604 0.5726480642505596 0.6858271407201033 0.4488311548895948 -8.365656530313209e-05 0 0 0 1
2 0.46507394078303654 -0.7041099781041882 0.536504343008636 9.726681815122595e-05 -0.8861844239128929 -0.387709149685029 0.25391129048213756 0.001381592470657611 0.029614791383611505 -0.5921781127087308 -0.8043316540665635 -0.0011274634396374328 0 0 0 1
3 1.0001145283385229 5.800311918656431e-05 -6.519795922329402e-05 -7.31324143848338e-05 -0.00020390209202108406 0.9992819083371215 0.003261660893633278 4.6839165849317695e-05 -0.0006034070820214177 -0.003126010525677847 0.9991969773546674 0.0005512454800518929 0 0 0 1
#####################################################
*BONEANIMATION, BONEINDEX=2, NFRAMES=4
0 0.9488032632708042 -0.08713050636622047 0.30409999614667316 0.000253986478100543 -0.2927780450122799 0.12056353035708567 0.9491913409489798 0.00024324731572629432 -0.11950416566353667 -0.9895998724447725 0.08891399755806187 0.00020887262765856285 0 0 0 1
1 0.9077030723519806 -0.26936259264327056 0.32436450802752326 0.0006533622033092212 0.33482100955644084 -0.0068024577539509135 -0.9433039181778327 -0.000547301566261052 0.256018479478636 0.9632973731609916 0.08390156429814949 0.0002277361038820272 0 0 0 1
2 0.6925586833067778 0.2425436255047465 0.6802269681384352 0.0006127429139431428 -0.6384317626713181 0.6449932494057058 0.42127743196831213 0.00015980945139010272 -0.33686717136410654 -0.7256467695781417 0.6014635258179114 3.9138337309507776e-05 0 0 0 1
3 0.9877628123076373 -0.15623612623371186 0.012596451001688092 5.2634220595829985e-05 -0.09082444827972913 -0.5085812023080696 0.8588209430803855 -1.6205384651747992e-05 -0.1269962863962397 -0.8493723931769533 -0.5165375106729869 0.00016146553345974812 0 0 0 1
#####################################################
*BONEANIMATION, BONEINDEX=3, NFRAMES=4
0 0.3214535990147112 -0.39939247130645195 -0.9120704004077572 0.6130048480496004 -0.4093637750267827 0.792677436137313 -0.5823390224686678 0.3817163035239959 0.8933069728984697 0.599917731566034 0.11332158528395843 -0.798557639409023 0 0 0 1
1 0.7613230084285902 -0.46761730441206334 0.45323332035221325 -0.060146268516720364 0.5001416708131246 -0.02449025569418964 -0.8665110748414462 -0.8610356183836622 0.4168859590237528 0.8848388245344198 0.21352416235970373 0.1547001529754891 0 0 0 1
2 0.2741787368061567 -0.8966647532953498 -0.5095104454304719 0.16059727031366836 0.2507626593930682 -0.4585198915819826 0.9138203958746793 -1.0336484900286078 -0.9629392780233385 -0.33735585960539727 0.02826796325012223 0.909303364873323 0 0 0 1
3 0.9134839556275792 -0.3858682249855766 0.14232409351570519 0.0784177282804028 0.05284397532849401 -0.22618001232947588 -1.0621125459071048 -0.04343251494014237 0.4225253682118249 0.9837039704578565 -0.18680461420537853 -0.3745114242238441 0 0 0 1
#####################################################
*VERTEXWEIGHTS, NVERTICES=420  #(vtx0Based bone0 w0 bone1 w1 ... )
0  0 2.153153300099575e-08 1 9.942450368241595e-05 2 0.0480482591313629 3 0.9518522948334217
1  0 3.738420961685307e-08 1 0.00013894825162108493 2 0.04804628716692483 3 0.9518147271972445
2  0 3.4444860574911473e-09 1 5.4344217184976173e-05 2 0.04805050832930685 3 0.951895144009022
3  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
4  0 9.723444271969583e-11 1 4.600027756654357e-05 2 0.04805092463479721 3 0.9519030749904018
5  0 1.6053694207318614e-09 1 4.9759716074238014e-05 2 0.04805073706454105 3 0.9518995016140153
6  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
7  0 9.050485999528846e-09 1 6.831870367421389e-05 2 0.04804981109805695 3 0.9518818611477828
8  0 1.3239409568654992e-12 1 4.575785997959492e-05 2 0.04805093672971178 3 0.9519033054089846
9  0 1.4130601994066794e-08 1 8.096928654346969e-05 2 0.04804917992028851 3 0.951869836662566
10  0 7.030372201066726e-09 1 6.328301799751745e-05 2 0.04805006234431364 3 0.9518866476073167
11  0 2.54082121176058e-08 1 0.0001090948057423935 2 0.04804777664959026 3 0.9518431031364551
12  0 3.771050843814905e-08 1 0.0001397616408574387 2 0.04804624658436779 3 0.9518139540642663
13  0 4.209599388516061e-08 1 0.00015069366184164434 2 0.04804570115132728 3 0.951803563090837
14  0 4.089183158750842e-08 1 0.00014769195801081492 2 0.04804585091580815 3 0.9518064162343495
15  0 4.047059584677548e-08 1 0.00014664191288743522 2 0.04804590330587455 3 0.9518074143106421
16  0 2.4442071117070086e-08 1 0.00010668643526928756 2 0.04804789681079663 3 0.9518453923118629
17  0 1.1502347269098934e-08 1 7.439207474838061e-05 2 0.04804951777515748 3 0.9518760786477469
18  0 1.1915302078335799e-11 1 4.575786724184128e-05 2 0.04805094726296377 3 0.951903294857879
19  0 4.7207004416627285e-09 1 5.7501757779659934e-05 2 0.04805036181898703 3 0.9518921317025328
20  0 7.864022000259041e-08 1 0.0002417901308970627 2 0.04804115606088466 3 0.9517169751679982
21  0 9.008164475465819e-08 1 0.0002703110080905513 2 0.048039733064278 3 0.9516898658459867
22  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
23  0 1.0897293289957588e-08 1 7.292237545858393e-05 2 0.04804958140633736 3 0.9518774853209108
24  0 1.7485218828383609e-10 1 4.575799936595848e-05 2 0.04805113889843543 3 0.9519031029273464
25  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
26  0 5.8456946505636154e-08 1 0.00019147780658582136 2 0.04804366630158602 3 0.9517647974348815
27  0 1.341683859845677e-07 1 0.0003798980405727015 2 0.048034409813151546 3 0.9515855579778898
28  0 5.406060149537595e-08 1 0.0001804381465836391 2 0.04804421710352802 3 0.9517752906892869
29  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
30  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
31  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
32  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
33  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
34  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
35  0 2.5416647897458233e-08 1 0.00010911583397593683 2 0.048047775600425224 3 0.9518430831489509
36  0 1.762770865387786e-08 1 8.951257840805749e-05 2 0.04804875366513617 3 0.951861716128747
37  0 1.4819718119341019e-08 1 8.270009093944153e-05 2 0.04804909356524267 3 0.9518681915240996
38  0 2.730927292637908e-08 1 0.00011380636775093489 2 0.04804754157436092 3 0.9518386247486152
39  0 6.069612173975614e-08 1 0.00019698989795749466 2 0.048043391284605996 3 0.9517595581213147
40  0 -1.379452108096757e-14 1 4.5757859979733695e-05 2 0.04805093672977584 3 0.9519033054102581
41  0 1.0014656048884518e-09 1 4.5758658262118335e-05 2 0.04805209457491011 3 0.951902145765362
42  0 1.925036074990061e-09 1 4.575939444320665e-05 2 0.04805316234701695 3 0.9519010763335037
43  0 6.228523496409899e-07 1 0.0015926856217649 2 0.04797640108941875 3 0.9504302904364667
